iter	Passed	Remaining
471	674	753
472	675	752
473	676	750
474	677	748
475	678	747
476	679	745
477	680	743
478	681	741
479	682	739
480	683	737
481	684	735
482	685	733
483	686	731
484	687	729
485	689	729
486	691	728
487	692	726
488	693	725
489	694	723
490	695	721
491	696	719
492	697	717
493	698	715
494	699	713
495	700	711
496	700	709
497	701	707
498	703	706
499	705	705
500	706	703
501	707	701
502	708	699
503	709	697
504	709	695
505	710	693
506	711	691
507	712	690
508	713	688
509	714	686
510	715	684
511	716	682
512	717	680
513	718	679
514	720	678
515	721	676
516	722	675
517	723	673
518	724	671
519	725	669
520	726	667
521	727	665
522	727	663
523	728	662
524	729	660
525	730	658
526	731	656
527	732	655
528	734	653
529	735	651
530	736	650
531	737	648
532	738	646
533	739	644
534	740	643
535	741	641
536	742	639
537	742	638
538	743	636
539	744	634
540	745	632
541	746	630
542	747	628
543	749	627
544	750	626
545	751	624
546	752	623
547	753	621
548	754	619
549	755	617
550	756	616
551	756	614
552	757	612
553	758	610
554	759	609
555	760	607
556	761	605
557	762	603
558	763	602
559	765	601
560	766	599
561	767	598
562	768	596
563	769	594
564	770	592
565	771	591
566	772	589
567	773	587
568	773	586
569	774	584
570	775	582
571	776	580
572	777	579
573	779	578
574	780	576
575	781	575
576	782	573
577	783	572
578	784	570
579	785	568
580	786	566
581	787	565
582	787	563
583	788	561
584	789	560
585	790	558
586	791	556
587	793	555
588	794	554
589	795	553
590	796	551
591	797	549
592	798	548
593	799	546
594	800	544
595	801	543
596	803	542
597	804	540
598	804	538
599	805	537
600	806	535
601	808	534
602	809	532
603	810	531
604	811	529
605	812	528
606	813	526
607	814	525
608	815	523
609	816	521
610	817	520
611	818	519
612	819	517
613	820	516
614	821	514
615	823	513
616	824	511
617	825	510
618	826	508
619	827	507
620	828	505
621	829	504
622	830	502
623	831	500
624	832	499
625	832	497
626	833	495
627	834	494
628	835	492
629	836	491
630	837	489
631	839	488
632	840	487
633	841	485
634	842	484
635	843	482
636	844	481
637	845	479
638	846	477
639	846	476
640	848	474
641	848	473
642	849	471
643	850	470
644	851	468
645	853	467
646	855	466
647	856	465
648	857	463
649	858	462
650	859	460
651	860	459
652	861	457
653	862	456
654	863	454
655	864	453
656	864	451
657	865	449
658	866	448
659	868	447
660	869	446
661	871	444
662	872	443
663	873	442
664	874	440
665	876	439
666	877	437
667	878	436
668	879	434
669	882	434
670	884	433
671	885	432
672	886	430
673	887	429
674	888	427
675	888	426
676	889	424
677	890	422
678	891	421
679	891	419
680	892	418
681	893	416
682	894	415
683	895	413
684	896	412
685	898	411
686	899	409
687	900	408
688	901	406
689	902	405
690	903	403
691	904	402
692	904	400
693	905	399
694	906	397
695	907	396
696	908	394
697	909	393
698	910	392
699	911	390
700	913	389
701	914	388
702	915	386
703	916	385
704	917	383
705	918	382
706	919	381
707	920	379
708	921	378
709	922	376
710	923	375
711	924	373
712	925	372
713	926	371
714	927	369
715	929	368
716	930	367
717	931	365
718	932	364
719	933	362
720	934	361
721	935	360
722	935	358
723	936	357
724	937	355
725	939	354
726	940	353
727	941	351
728	943	350
729	944	349
730	945	347
731	946	346
732	946	344
733	947	343
734	948	342
735	949	340
736	950	339
737	951	337
738	952	336
739	953	334
740	954	333
741	955	332
742	955	330
743	958	329
744	959	328
745	960	327
746	961	325
747	962	324
748	963	322
749	964	321
750	965	320
751	966	318
752	967	317
753	968	315
754	969	314
755	970	313
756	970	311
757	973	310
758	974	309
759	975	307
760	976	306
761	977	305
762	978	303
763	979	302
764	979	301
765	980	299
766	981	298
767	982	296
768	983	295
769	984	294
770	985	292
771	986	291
772	988	290
773	989	288
774	990	287
775	991	286
776	992	284
777	993	283
778	994	282
779	995	280
780	996	279
781	997	278
782	998	276
783	999	275
784	1001	274
785	1003	273
786	1004	271
787	1005	270
788	1006	269
789	1007	267
790	1009	266
791	1010	265
792	1011	263
793	1012	262
794	1012	261
795	1013	259
796	1014	258
797	1015	257
798	1018	256
799	1019	254
800	1021	253
801	1022	252
802	1023	250
803	1024	249
804	1025	248
805	1026	247
806	1027	245
807	1028	244
808	1029	243
809	1030	241
810	1032	240
811	1034	239
812	1036	238
813	1037	237
814	1038	235
815	1039	234
816	1040	233
817	1041	231
818	1042	230
819	1043	229
820	1044	227
821	1045	226
822	1045	224
823	1049	224
824	1050	222
825	1052	221
826	1053	220
827	1054	219
828	1055	217
829	1056	216
830	1057	215
831	1058	213
832	1059	212
833	1060	211
834	1063	210
835	1065	209
836	1067	207
837	1068	206
838	1069	205
839	1071	204
840	1072	202
841	1073	201
842	1074	200
843	1075	198
844	1077	197
845	1079	196
846	1081	195
847	1082	194
848	1083	192
849	1084	191
850	1085	190
851	1086	188
852	1087	187
853	1088	186
854	1089	184
855	1090	183
856	1095	182
857	1096	181
858	1097	180
859	1098	178
860	1100	177
861	1101	176
862	1102	174
863	1103	173
864	1104	172
865	1105	171
866	1106	169
867	1108	168
868	1109	167
869	1110	165
870	1112	164
871	1113	163
872	1114	162
873	1115	160
874	1116	159
875	1116	158
876	1117	156
877	1118	155
878	1119	154
879	1120	152
880	1121	151
881	1123	150
882	1124	149
883	1126	147
884	1127	146
885	1128	145
886	1129	143
887	1130	142
888	1131	141
889	1132	139
890	1133	138
891	1134	137
892	1135	136
893	1137	134
894	1139	133
895	1140	132
896	1141	131
897	1142	129
898	1143	128
899	1144	127
900	1145	125
901	1146	124
902	1147	123
903	1148	121
904	1149	120
905	1150	119
906	1152	118
907	1153	116
908	1154	115
909	1155	114
910	1157	113
911	1158	111
912	1159	110
913	1160	109
914	1161	107
915	1162	106
916	1163	105
917	1164	103
918	1165	102
919	1166	101
920	1168	100
921	1169	98
922	1170	97
923	1171	96
924	1172	95
925	1173	93
926	1174	92
927	1175	91
928	1176	89
929	1177	88
930	1178	87
931	1179	86
932	1180	84
933	1182	83
934	1183	82
935	1184	81
936	1186	79
937	1187	78
938	1188	77
939	1189	75
940	1190	74
941	1191	73
942	1192	72
943	1193	70
944	1194	69
945	1196	68
946	1197	67
947	1198	65
948	1199	64
949	1200	63
950	1201	61
951	1202	60
952	1203	59
953	1204	58
954	1205	56
955	1207	55
956	1207	54
957	1208	53
958	1209	51
959	1211	50
960	1213	49
961	1214	47
962	1215	46
963	1216	45
964	1217	44
965	1218	42
966	1219	41
967	1220	40
968	1221	39
969	1222	37
970	1223	36
971	1224	35
972	1224	33
973	1226	32
974	1227	31
975	1229	30
976	1230	28
977	1231	27
978	1232	26
979	1233	25
980	1234	23
981	1235	22
982	1236	21
983	1237	20
984	1238	18
985	1238	17
986	1239	16
987	1241	15
988	1242	13
989	1243	12
990	1245	11
991	1246	10
992	1247	8
993	1248	7
994	1249	6
995	1249	5
996	1250	3
997	1251	2
998	1252	1
999	1253	0
